model,language,category,total,correct,accuracy
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,all,588,334,0.568027
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,business,40,26,0.65
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,law,48,9,0.1875
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,psychology,40,26,0.65
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,biology,36,28,0.777778
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,chemistry,56,37,0.660714
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,history,19,6,0.315789
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,other,46,20,0.434783
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,health,35,21,0.6
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,ru,economics,42,31,0.738095
