model,dataset_type,jsonl_file,total,correct,accuracy,acc_mean,acc_std,n_files
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,high_school_european_history.jsonl,165,136,0.824242,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,high_school_psychology.jsonl,545,502,0.921101,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,logical_fallacies.jsonl,163,140,0.858896,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,college_physics.jsonl,102,91,0.892157,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,abstract_algebra.jsonl,100,88,0.88,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,professional_accounting.jsonl,282,209,0.741135,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,sociology.jsonl,201,164,0.81592,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,philosophy.jsonl,311,220,0.707395,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,high_school_macroeconomics.jsonl,390,335,0.858974,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,global_facts.jsonl,100,49,0.49,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,clinical_knowledge.jsonl,265,217,0.818868,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,high_school_government_and_politics.jsonl,193,178,0.92228,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,college_biology.jsonl,144,133,0.923611,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,college_chemistry.jsonl,100,65,0.65,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,high_school_world_history.jsonl,237,199,0.839662,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu,nutrition.jsonl,306,247,0.80719,0.809464,0.115113,16
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu_prox,ru.jsonl,588,334,0.568027,0.521137,0.102318,7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu_prox,zh.jsonl,588,315,0.535714,0.521137,0.102318,7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu_prox,de.jsonl,588,333,0.566327,0.521137,0.102318,7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu_prox,en.jsonl,588,344,0.585034,0.521137,0.102318,7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu_prox,sw.jsonl,588,172,0.292517,0.521137,0.102318,7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu_prox,ar.jsonl,588,316,0.537415,0.521137,0.102318,7
Qwen3-4B__adapter__dpo_sib200__qwen3_4b__1flip_0p6edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260309_040908,mmlu_prox,vi.jsonl,588,331,0.562925,0.521137,0.102318,7
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu_prox,vi.jsonl,588,231,0.392857,0.385568,0.038964,7
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu_prox,sw.jsonl,588,185,0.314626,0.385568,0.038964,7
gemma-3-4b-it__adapter__dpo_sib200__gemma3_4b__1flip_1p35edit_1aug__en_ar_de_ru_sw_vi_zh__lr_1em6__beta_0.2__lora_all__260302_110932,mmlu_prox,ar.jsonl,588,216,0.367347,0.385568,0.038964,7
